date,Coronavirus TIPS,Bill Withers,Face mask,Earthquake,Paycheck Protection Program,Logan Williams,HBO,VALORANT,Onward,Captain Crozier!,Brooke Baldwin,Kathleen Kennedy Townsend,Playboi Carti,Money Heist,Tekashi 69,N95 masks,Deadpool Fortnite,Val Kilmer,Rod Wave,Bad Bunny
2020-04-03 04:56:00,22,0,4,0,0,0,18,4,12,0,0,0,5,51,17,33,20,2,99,23
2020-04-03 05:04:00,23,0,4,0,0,0,17,5,14,0,0,0,4,56,20,35,21,2,100,24
2020-04-03 05:12:00,22,0,4,0,0,0,18,5,13,0,0,0,4,52,20,39,23,2,91,24
2020-04-03 05:20:00,22,0,4,0,0,0,17,5,12,0,0,0,4,49,16,33,20,1,88,25
2020-04-03 05:28:00,22,0,4,0,0,0,17,5,10,0,0,0,4,44,18,35,16,2,86,24
2020-04-03 05:36:00,22,0,3,0,0,0,16,6,10,0,0,0,4,45,16,33,18,2,86,20
2020-04-03 05:44:00,23,0,3,0,0,0,16,7,9,0,0,0,4,44,17,30,18,2,87,23
2020-04-03 05:52:00,23,0,3,0,0,0,17,7,9,0,0,0,5,41,17,31,19,2,79,27
2020-04-03 06:00:00,19,0,3,0,0,0,15,10,11,0,0,0,6,46,18,29,21,2,73,24
2020-04-03 06:08:00,20,0,3,0,0,0,15,8,12,0,0,0,4,44,16,36,18,2,69,21
2020-04-03 06:16:00,21,0,3,0,0,0,17,7,12,0,0,0,4,45,18,29,20,2,66,23
2020-04-03 06:24:00,21,0,3,0,0,0,15,8,10,0,0,0,4,47,19,28,20,2,67,28
2020-04-03 06:32:00,21,0,3,0,0,0,16,7,10,0,0,0,4,43,21,30,19,2,66,25
2020-04-03 06:40:00,21,0,3,0,0,0,13,8,11,0,0,0,6,45,17,33,20,2,61,27
2020-04-03 06:48:00,21,0,3,0,0,0,15,7,11,0,0,0,6,49,20,27,21,1,57,24
2020-04-03 06:56:00,21,0,3,0,0,0,15,7,17,0,0,0,5,59,19,30,22,1,63,24
2020-04-03 07:04:00,21,0,3,0,0,0,15,7,19,0,0,0,5,53,19,27,27,3,57,28
2020-04-03 07:12:00,22,0,3,0,0,0,16,8,16,0,0,0,4,46,17,27,27,2,63,27
2020-04-03 07:20:00,21,0,3,0,0,0,15,7,12,0,0,0,5,44,20,23,25,2,51,24
2020-04-03 07:28:00,21,0,3,0,0,0,15,6,9,0,0,0,5,46,21,23,18,2,52,25
2020-04-03 07:36:00,19,0,3,0,0,0,14,6,8,0,0,0,5,42,16,27,19,2,48,21
2020-04-03 07:44:00,19,0,3,0,0,0,13,5,9,0,0,0,6,45,19,30,20,2,49,25
2020-04-03 07:52:00,18,0,3,0,0,0,14,7,7,0,0,0,4,37,16,27,23,2,49,22
2020-04-03 08:00:00,18,0,3,0,0,0,14,6,7,0,0,0,5,39,20,28,19,2,46,19
2020-04-03 08:08:00,17,0,3,0,0,0,14,7,6,0,0,0,4,36,19,23,20,2,47,24
2020-04-03 08:16:00,18,0,3,0,0,0,15,6,7,0,0,0,5,36,18,23,18,2,41,21
2020-04-03 08:24:00,16,0,2,0,0,0,15,5,6,0,0,0,3,34,14,22,13,2,37,18
2020-04-03 08:32:00,16,0,2,0,0,0,16,5,6,0,0,0,5,32,14,23,13,2,41,18
2020-04-03 08:40:00,15,0,2,0,0,0,13,5,6,0,0,0,4,28,13,26,14,2,33,15
2020-04-03 08:48:00,15,0,2,0,0,0,14,5,7,0,0,0,3,28,13,21,16,2,32,16
2020-04-03 08:56:00,14,0,2,0,0,0,16,5,5,0,0,0,4,31,13,23,14,3,35,19
2020-04-03 09:04:00,15,0,3,0,0,0,13,4,6,0,0,0,4,27,16,30,17,1,33,14
2020-04-03 09:12:00,15,0,3,0,0,0,16,5,6,0,0,0,3,34,17,25,16,2,33,15
2020-04-03 09:20:00,15,0,3,0,0,0,13,5,7,0,0,0,4,33,16,24,17,3,24,16
2020-04-03 09:28:00,14,0,3,0,0,0,15,5,5,0,0,0,2,28,14,31,15,2,36,18
2020-04-03 09:36:00,14,0,3,0,0,0,14,4,6,0,0,0,4,28,14,29,16,2,28,13
2020-04-03 09:44:00,13,0,3,0,0,0,16,4,5,0,0,0,3,27,10,27,10,2,25,13
2020-04-03 09:52:00,13,0,3,0,0,0,17,4,5,0,0,0,3,26,11,26,13,3,28,13
2020-04-03 10:00:00,14,0,4,0,1,0,14,5,6,0,0,0,2,23,15,33,11,3,23,13
2020-04-03 10:08:00,14,0,4,0,1,0,17,4,5,0,0,0,2,26,14,32,15,1,26,11
2020-04-03 10:16:00,14,0,4,0,1,0,18,4,6,0,0,0,3,26,12,35,13,3,27,12
2020-04-03 10:24:00,15,0,4,0,1,0,20,3,6,0,0,0,2,25,16,37,15,2,27,13
2020-04-03 10:32:00,15,0,4,0,1,0,19,4,7,0,0,0,2,21,17,39,14,2,24,11
2020-04-03 10:40:00,15,0,4,0,1,0,24,3,7,0,0,0,2,23,15,40,13,2,23,9
2020-04-03 10:48:00,15,0,4,0,1,0,23,2,6,0,0,0,2,21,18,35,14,5,22,12
2020-04-03 10:56:00,15,0,5,0,1,0,22,3,6,0,0,0,1,18,17,41,17,3,21,10
